;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
1313;CHEMBL2182014;nM;38000.0;CCCCNC(=O)CC[Si](O)(O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H](C)CC;4.420216403383191;507.31284807000003;5;5;2.5633000000000017;yes
1314;CHEMBL1808505;nM;38000.0;CCOC(=O)c1nn(C(=O)c2ccc(C#N)cc2)c2ccccc12;4.420216403383191;319.095691276;6;0;2.7731800000000018;yes
1315;CHEMBL1808488;nM;38000.0;N#Cc1ccc(C(=O)n2nc(C(=O)Nc3ccccc3)c3ccccc32)cc1;4.420216403383191;366.111675688;5;1;3.8487800000000023;yes
1316;CHEMBL4292577;nM;38500.0;CCOC(=O)c1cn(C(=O)c2ccc(C#N)cc2)c2ncccc12;4.414539270491499;319.095691276;6;0;2.773180000000001;yes
1317;CHEMBL21745;nM;39000.0;Cc1ccc2c(c1)C(=O)c1ccccc1C2=O;4.4089353929735005;222.06807956;2;0;2.7704200000000005;yes
1318;CHEMBL2182017;nM;39000.0;CC[C@H](C)[C@H](NC(=O)Cc1ccc2ccccc2c1)C(=O)N[C@@H](CC(C)C)[Si](C)(O)O;4.4089353929735005;444.24443416199995;4;4;3.039900000000002;yes
1319;CHEMBL85914;nM;40000.0;CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(C)=O)[C@H]2SC1;4.3979400086720375;371.103873012;8;0;0.9921;yes
1320;CHEMBL431591;nM;40000.0;CCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S+]([O-])[C@H]12;4.3979400086720375;373.11952307599995;7;0;0.48099999999999965;yes
1321;CHEMBL85352;nM;40000.0;CCCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12;4.3979400086720375;401.1508232039999;7;0;1.5484;yes
1322;CHEMBL311340;nM;40000.0;CCCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12;4.3979400086720375;403.1300877599999;8;0;0.537200000000001;yes
1323;CHEMBL63952;nM;40000.0;Cc1c(NC(=O)OC(C)(C)C)ccc2nc(N[C@H](C)c3ccccc3)oc(=O)c12;4.3979400086720375;395.18450627999994;6;2;5.016520000000003;yes
1325;CHEMBL4293092;nM;42600.0;Cc1cccc(C(=O)n2cc(-c3ccoc3)c3cccnc32)c1;4.370590400897282;302.105527688;4;0;4.293220000000003;yes
1326;CHEMBL85693;nM;43000.0;CCCC[C@@H]1C(=O)N(C(C)=O)[C@@H]1/C(C)=C/c1ccccc1;4.366531544420414;285.17287897600005;2;0;3.6536000000000026;yes
1327;CHEMBL274788;nM;43000.0;CC(C)(C)C(=O)Oc1coc(COC2CCOCC2)cc1=O;4.366531544420414;310.141638424;6;0;2.2869;yes
1328;CHEMBL4279019;nM;44800.0;Cc1cccc(C(=O)n2cc(-c3ccco3)c3cccnc32)c1;4.348721986001856;302.105527688;4;0;4.293220000000003;yes
1329;CHEMBL418925;nM;45000.0;CCCC[C@@H]1C(=O)N(C(C)=O)[C@@H]1C(C)=O;4.346787486224656;211.120843404;3;0;1.1391;yes
1330;CHEMBL2182016;nM;46000.0;CCCCNC(=O)CC[Si](O)(O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)C(F)(F)F)[C@@H](C)CC;4.337242168318426;485.253282506;5;5;1.8828999999999996;yes
1331;CHEMBL28;nM;46100.0;O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12;4.336299074610352;270.05282342000004;5;3;2.576800000000001;yes
1332;CHEMBL2387715;nM;46600.0;COc1cc([C@H]2Oc3cc4c(c(O)c3C(=O)[C@@H]2O)CCC(C)(CCCC(C)(C)O)O4)ccc1O;4.33161408331;472.20971798399995;8;4;3.8086000000000033;yes
1333;CHEMBL2182020;nM;51000.0;CCCCNC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H](C)CC;4.292429823902062;474.320605824;4;4;2.323400000000003;yes
1334;CHEMBL212723;nM;51500.0;Cc1ccc(C)n1-c1ccc(C(=O)O)c(O)c1;4.288192770958808;231.089543276;3;2;2.49794;yes
1335;CHEMBL289277;nM;52000.0;Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O;4.2839966563652006;270.05282342;5;3;1.8872199999999997;yes
1336;CHEMBL1808495;nM;52000.0;CCOC(=O)c1nn(C(=O)c2ccccc2C)c2ccccc12;4.2839966563652006;308.116092372;5;0;3.209920000000002;yes
1337;CHEMBL213144;nM;52200.0;CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1;4.282329496997739;383.057591516;6;2;1.4738800000000003;yes
1338;CHEMBL309710;nM;57800.0;CO[C@H]1C(=O)N2C3=C(COC3=O)CS(=O)(=O)C12;4.238072161579471;259.01505800800004;6;0;-1.5909999999999984;yes
1339;CHEMBL2011404;nM;59100.0;COc1ccc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc1O;4.228412519118745;438.2042386799999;6;3;5.7537000000000065;yes
1340;CHEMBL463842;nM;71300.0;COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc(OC)c1O;4.146910470148135;468.21480336399986;7;3;5.762300000000006;yes
1341;CHEMBL4175745;nM;74700.0;C/C(=C\Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2)CCCC(C)(C)O;4.126679398184601;426.20423867999995;6;4;4.939900000000005;yes
1342;CHEMBL172713;nM;75000.0;CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2Cc1ccccc1;4.1249387366083;350.090271548;6;1;2.4096;yes
1343;CHEMBL213158;nM;75800.0;CSc1ccc(/C=C2\N=CN(NS(=O)(=O)c3ccc(Cl)c(C(=O)O)c3)C2=O)cc1;4.120330794367947;451.00634022799994;6;2;2.865000000000001;yes
1344;CHEMBL313838;nM;76000.0;CO[C@H]1C(=O)N([C@@H](C2SCCCS2)C2OC(C)(C)OC2C2COC(C)(C)O2)[C@H]1/C=C/c1ccccc1;4.1191864077192095;535.2062299039999;8;0;4.1620000000000035;yes
1345;CHEMBL212852;nM;78300.0;CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)s1;4.106238237942057;437.03830905200005;6;3;4.198700000000002;yes
1347;CHEMBL378575;nM;84800.0;O=C1NC(=S)N/C1=C\c1ccc(O)cc1O;4.071604147743286;236.025563116;4;4;0.4430000000000001;yes
1348;CHEMBL385899;nM;89800.0;O=C1NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(Cl)cc2)o1;4.046723663332696;442.012326844;4;2;4.413000000000002;yes
1349;CHEMBL174436;nM;92000.0;CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCc1ccccc1;4.0362121726544435;364.105921612;6;1;2.604000000000001;yes
1350;CHEMBL310133;nM;94000.0;CO[C@@H]1C(=O)N(C(C)=O)[C@@H]1C(C)=O;4.026872146400302;185.068807832;4;0;-0.6523000000000001;yes
1351;CHEMBL190503;nM;95219.3;O=S(=O)(F)Cc1ccccc1;4.021275015544293;174.015078684;2;0;1.4859000000000002;yes
1352;CHEMBL9977;nM;100000.0;CCCCCCCCCCCCCCCC(=O)OCc1cc(=O)c(O)co1;4.0;380.2562742519999;5;1;5.869900000000007;yes
1353;CHEMBL245930;nM;100000.0;CC[C@@H](NC(=O)N1CC(=O)NC[C@@H](Cc2cc(Cl)ccc2OC)C1=O)c1ccc(C(=O)O)c(N)c1;4.0;502.16191226399997;6;4;2.607;yes
1355;CHEMBL209974;nM;124900.0;Cc1ccc(C)n1-c1ccc(CC(=O)O)cc1;3.903437561625864;229.11027872;2;1;2.72124;yes
1357;CHEMBL13276;nM;153000.0;CCCCCCCCCCCc1cc(O)cc(O)n1;3.8153085691824016;265.204179104;3;2;4.566100000000006;yes
1358;CHEMBL3697036;nM;158800.0;C/C(=N\OCCCO)c1ccccc1NS(=O)(=O)c1ccc(OC(=O)C(C)(C)C)cc1;3.7991495019089214;448.1668076159999;7;2;3.5619000000000023;yes
1359;CHEMBL212406;nM;160200.0;Cc1ccc(C)n1-c1ccc(Cl)c(C(=O)O)c1;3.7953374882517816;249.055656304;2;1;3.4457400000000016;yes
1361;CHEMBL131909;nM;183000.0;CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)c1nc2ccccc2o1;3.73754891026957;543.3056840319999;7;3;2.445400000000002;yes
1362;CHEMBL323682;nM;210000.0;COC(=O)/C(Br)=C1/C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CSC12;3.677780705266081;571.030035144;8;0;3.8735000000000026;yes
1363;CHEMBL3697032;nM;221560.0;C/C(=N\O)c1ccccc1NS(=O)(=O)c1ccc(OC(=O)C(C)(C)C)cc1;3.6545086435253538;390.12494280399994;6;2;3.637100000000003;yes
1365;CHEMBL324743;nM;280000.0;CO[C@H]1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CS(=O)(=O)C12;3.552841968657781;485.1144376959999;8;0;1.7480999999999998;yes
1366;CHEMBL177108;nM;292000.0;CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2Cc1ccccn1;3.5346171485515816;351.08552051600003;7;1;1.8045999999999998;yes
1367;CHEMBL172608;nM;305000.0;CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCCc1ccccc1;3.5157001606532137;378.121571676;6;1;2.9941000000000013;yes
1368;CHEMBL114010;nM;390000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C\Br)C2SC1;3.4089353929735005;513.0245558400001;6;0;4.330300000000004;yes
1369;CHEMBL173030;nM;454000.0;CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2C1CCCCC1;3.342944147142896;342.121571676;6;1;2.866500000000001;yes
1370;CHEMBL117113;nM;490000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C/C#N)C2S(=O)(=O)C1;3.309803919971486;492.09912197999995;8;0;2.1830800000000004;yes
1371;CHEMBL368146;nM;665000.0;CCCn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21;3.1771783546968955;302.09027154800003;6;1;1.7712999999999997;yes
1372;CHEMBL173369;nM;742000.0;COC(Cn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21)OC;3.1295960947209727;348.095750852;8;1;0.9801999999999997;yes
1373;CHEMBL173078;nM;810000.0;CCCCn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21;3.0915149811213505;316.105921612;6;1;2.1614;yes
1374;CHEMBL174956;nM;895000.0;Cc1c(C)n(CCCc2ccccc2)c2[nH]c(=O)oc(=O)c12;3.0481769646840875;298.13174243599997;4;1;2.5324400000000002;yes
1375;CHEMBL355751;nM;989000.0;COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCCc1ccccc1;3.0048037084028207;350.126657056;5;1;3.0774000000000017;yes
1376;CHEMBL326065;nM;1180000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@H](I)C2SC1;2.928117992693875;549.01069174;6;0;3.855100000000003;yes
1377;CHEMBL326832;nM;1390000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)C(Br)(Br)C2SC1;2.8569851997459046;578.9350679080001;6;0;4.537600000000004;yes
1378;CHEMBL12969;nM;1620000.0;CCCCCCC(CCCC)c1cc(O)cc(=O)o1;2.790484985457369;266.188194692;3;1;4.589600000000005;yes
1379;CHEMBL334282;nM;2070000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)C(=C(Br)Br)C2S(=O)(=O)C1;2.6840296545430826;622.9248971480001;7;0;3.7345000000000033;yes
1380;CHEMBL117125;nM;2560000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)C(=C(Cl)Cl)C2S(=O)(=O)C1;2.591760034688151;535.025928308;7;0;3.4223000000000026;yes
1381;CHEMBL117223;nM;2600000.0;COC(=O)/C=C1/C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CSC12;2.585026652029182;493.119523076;8;0;3.150900000000002;yes
1382;CHEMBL7424;nM;3150000.0;CCCCCCCCCCCc1cc(O)cc(=O)o1;2.501689446210399;266.188194692;3;1;4.418700000000005;yes
1383;CHEMBL116840;nM;3360000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C\Br)C2S(=O)(=O)C1;2.4736607226101563;545.01438508;7;0;3.0119000000000016;yes
1384;CHEMBL325922;nM;4270000.0;CC(=O)/C=C1/C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CSC12;2.3695721249749764;477.124608456;7;0;3.566900000000002;yes
1385;CHEMBL115279;nM;5350000.0;CO[C@H]1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CSC12;2.2716462179787715;453.124608456;7;0;3.0665000000000013;yes
1386;CHEMBL116898;nM;5400000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)C(=C=CBr)C2SC1;2.267606240177032;525.0245558400001;6;0;4.485400000000004;yes
1387;CHEMBL116445;nM;6000000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C\c3ccccc3)C2S(=O)(=O)C1;2.2218487496163557;543.13517314;7;0;3.8167000000000018;yes
1388;CHEMBL327149;nM;6000000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@H](Cl)C2SC1;2.2218487496163557;457.07507142;6;0;3.6589000000000027;yes
1389;CHEMBL424067;nM;6100000.0;C=C=C1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CS(=O)(=O)C12;2.214670164989233;479.1038730119999;7;0;2.4444;yes
1390;CHEMBL117126;nM;6410000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)C(=C(Cl)Cl)C2SC1;2.1931419704811823;503.03609906800006;6;0;4.740700000000004;yes
1391;CHEMBL326841;nM;7100000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C/C(=O)OC(C)(C)C)C2S(=O)(=O)C1;2.1487416512809245;567.156302508;9;0;3.0012000000000016;yes
1392;CHEMBL114107;nM;8900000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C/c3ccccc3)C2S(=O)(=O)C1;2.050609993355088;543.13517314;7;0;3.8167000000000018;yes
1393;CHEMBL325259;nM;8900000.0;COC(=O)/C=C1/C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CS(=O)(=O)C12;2.050609993355088;525.1093523159999;9;0;1.8324999999999998;yes
1394;CHEMBL323690;nM;9000000.0;C=C=C1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CSC12;2.045757490560675;447.11404377199995;6;0;3.762800000000002;yes
1395;CHEMBL116739;nM;10500000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)C(=C=CC(C)(C)C)C2S(=O)(=O)C1;1.9788107009300615;535.166473268;7;0;3.860700000000003;yes
1396;CHEMBL266010;nM;13500000.0;[2H]C(=C=C1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CS(=O)(=O)C12)C(C)(C)C;1.8696662315049932;536.1727500139999;7;0;3.860700000000003;yes
1397;CHEMBL114172;nM;13900000.0;CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)/C(=C/C=O)C2SC1;1.856985199745905;463.108958392;7;0;3.176800000000002;yes
