;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
1204;CHEMBL43457;nM;8000.0;CC(C)Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O;5.096910013008057;296.10485899199995;4;2;3.0717000000000025;yes
1205;CHEMBL231813;nM;8000.0;CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1;5.096910013008057;679.4057324160001;8;4;2.4459000000000035;yes
1206;CHEMBL3979685;nM;8040.0;N#Cc1ccc([C@@H]2NC(=O)N(c3cccc(C(F)(F)F)c3)C3=C2C(=O)CC3)cc1;5.094743951251549;397.10381134799997;3;1;4.464980000000002;yes
1207;CHEMBL551606;nM;8100.0;Cc1cccc2nc(-c3cccnc3NCCN(C)C)oc(=O)c12;5.091514981121351;324.15862587999993;6;1;2.5319200000000004;yes
1208;CHEMBL1808486;nM;8100.0;O=C(Nc1ccccc1)c1nn(C(=O)c2ccc(F)cc2)c2ccccc12;5.091514981121351;359.10700490799996;4;1;4.116200000000002;yes
1209;CHEMBL2387711;nM;8400.0;CC(C)(O)CCCC1(C)CCc2c(cc3c(c2O)C(=O)C[C@@H](c2ccc(O)c(O)c2)O3)O1;5.075720713938118;442.19915329999986;7;4;4.534800000000007;yes
1210;CHEMBL10198;nM;8400.0;Cc1cc(C)c(C(=O)OCc2cc(=O)c(OC(=O)C(C)(C)C)co2)c(C)c1;5.075720713938118;372.157288488;6;0;3.873560000000003;yes
1211;CHEMBL289034;nM;8700.0;CCCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O;5.060480747381382;296.10485899199995;4;1;3.128700000000002;yes
1212;CHEMBL3093819;nM;8900.0;CCC(CC)C(=O)Oc1coc(CSc2nnc(-c3ccccc3)s2)cc1=O;5.050609993355087;416.08644911999994;8;0;4.792200000000004;yes
1213;CHEMBL273849;nM;9000.0;CCCCCCCCCCCCCCCCCCCC(=O)OCc1cc(=O)c(O)co1;5.045757490560675;436.3188745079999;5;1;7.43030000000001;yes
1214;CHEMBL72250;nM;9000.0;CO[C@@]1(NC(=O)C(F)(F)F)C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@@H]21;5.045757490560675;464.086506608;7;1;0.49489999999999923;yes
1215;CHEMBL1835010;nM;9280.0;Cc1cc(O)c2c3c(c(O)c4c(c13)O[C@@H](C)C4(C)C)NC2=O;5.032452023781137;299.115758024;4;3;3.1836200000000012;yes
1216;CHEMBL563440;nM;9300.0;O=c1oc(-c2cccnc2Oc2ccccc2)nc2ccccc12;5.031517051446063;316.084792244;5;0;4.042300000000002;yes
1218;CHEMBL40849;nM;9900.0;Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O;5.00436480540245;254.0579088;4;2;2.1816199999999997;yes
1219;CHEMBL421718;nM;10000.0;CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(=O)Cc3ccccc3)[C@H]2S(=O)(=O)C1;5.0;479.12500237999996;9;0;0.8964999999999996;yes
1220;CHEMBL9702;nM;10000.0;CC(C)(C)C(=O)Oc1ccccc1C(=O)c1ccccc1;5.0;282.125594436;3;0;3.869100000000003;yes
1221;CHEMBL75506;nM;10000.0;CC(=O)O[C@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S[C@H]12;5.0;349.09839370800006;6;0;1.7237999999999993;yes
1222;CHEMBL1808547;nM;10000.0;Cc1cccc(C(=O)n2ncc3ccccc32)c1;5.0;236.094963004;3;0;3.033220000000002;yes
1223;CHEMBL83814;nM;10000.0;CCC(=O)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12;5.0;417.10935231599996;9;0;0.06380000000000119;yes
1224;CHEMBL85874;nM;10000.0;CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC=O)[C@H]2SC1;5.0;357.088222948;8;0;0.6020000000000001;yes
1225;CHEMBL2115523;nM;10000.0;C[C@@H](OC(=O)NCc1ccccc1)[C@@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@H]12;5.0;500.16172223599995;7;1;2.4048000000000007;yes
1226;CHEMBL83046;nM;10000.0;CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12;5.0;343.108958392;7;0;1.0753999999999997;yes
1227;CHEMBL2029556;nM;10200.0;COc1ccc(C(=O)N2C(=O)OC(C)(C)C2=O)cc1;4.991399828238082;263.07937251600003;5;0;1.5928;yes
1229;CHEMBL288236;nM;11000.0;COc1cccc2c1C(=O)c1c(ccc(CC(C)C)c1O)C2=O;4.9586073148417755;310.12050905599995;4;1;3.374700000000002;yes
1230;CHEMBL40861;nM;11000.0;C=CCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O;4.9586073148417755;294.08920892799995;4;1;2.904700000000001;yes
1231;CHEMBL42302;nM;11000.0;Cc1ccc2c(c1O)C(=O)c1ccccc1C2=O;4.9586073148417755;238.06299418;3;1;2.476020000000001;yes
1232;CHEMBL1808483;nM;11000.0;O=C(Nc1ccccc1)c1nn(C(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12;4.9586073148417755;386.10150492799994;6;1;3.8853000000000018;yes
1233;CHEMBL445912;nM;11100.0;CCOC(=O)C(F)(F)C(=O)[C@H](CC(C)C)NC(=O)CN(C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C1Cc2ccccc2C1;4.9546770212133415;643.306907156;7;2;4.231800000000003;yes
1234;CHEMBL4288085;nM;11500.0;CCOC(=O)c1cn(C(=O)c2cccc(C#N)c2)c2ncccc12;4.939302159646387;319.095691276;6;0;2.773180000000001;yes
1235;CHEMBL4281517;nM;11900.0;Cc1cccc(C(=O)n2cc(Br)c3cccnc32)c1;4.924453038607469;314.0054750720001;3;0;3.795720000000002;yes
